question,intent,answer
"What are the working hours?","working_hours","The standard working hours are 9 AM to 6 PM, Monday to Friday."
"When does the office open?","working_hours","The office opens at 9 AM."
"What time does the office close?","working_hours","The office closes at 6 PM."
"How can I apply for leave?","leave_policy","You can apply for leave through the employee portal."
"Where can I request leave?","leave_policy","Leave requests can be submitted through the employee portal."
"How do I reset my password?","password_reset","You can reset your password through the IT support portal."
"I forgot my password","password_reset","Please use the password reset option or contact the IT helpdesk."
"How can I contact HR?","hr_contact","You can contact HR through the official HR portal."
"How do I reach HR?","hr_contact","You can contact HR through the official HR portal."
"When will I receive my salary?","salary","Salary is processed according to the company's monthly payroll schedule."
"When is salary credited?","salary","Salary is credited according to the company's payroll schedule."
"How is attendance recorded?","attendance","Attendance is recorded through the company's attendance system."
"Where can I check my attendance?","attendance","You can check your attendance through the employee portal."
"Where is the office located?","office_location","The office location and address are available on the employee portal."
"What is the office address?","office_location","Please check the employee portal for the official office address."
"How can I contact IT support?","it_support","You can contact IT support through the IT helpdesk portal."
"Where can I contact IT support?","it_support","You can contact IT support through the IT helpdesk portal."
"How do I reach IT support?","it_support","You can contact IT support through the IT helpdesk portal."
"I need help from IT","it_support","You can contact IT support through the IT helpdesk portal."
"Who should I contact for technical problems?","it_support","You can contact IT support through the IT helpdesk portal."
"Where can I get technical support?","it_support","You can contact IT support through the IT helpdesk portal."
